Linux 4.4.0-142-generic (node0.g16-a2.cs744-s19-pg0.wisc.cloudlab.us) 	04/19/2019 	_x86_64_	(40 CPU)

12:12:48 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:14:52 PM     all     88.32      0.00      5.01      0.00      0.00      6.66
12:14:53 PM     all     86.12      0.00      9.21      0.00      0.00      4.67
12:14:54 PM     all     41.66      0.00      3.76      0.00      0.00     54.58
12:14:55 PM     all     32.48      0.00      1.18      0.00      0.00     66.34
12:14:56 PM     all     42.32      0.00      9.49      0.00      0.00     48.18
12:14:57 PM     all     77.83      0.00      6.19      0.00      0.00     15.97
12:14:58 PM     all     94.12      0.00      4.26      0.00      0.00      1.63
12:14:59 PM     all     47.28      0.00      2.23      0.00      0.00     50.49
12:15:00 PM     all     34.49      0.00      1.08      0.00      0.00     64.43
12:15:01 PM     all     45.69      0.00      8.67      0.00      0.00     45.64
12:15:02 PM     all     85.75      0.00      4.49      0.00      0.00      9.76
12:15:03 PM     all     92.75      0.00      4.00      0.00      0.00      3.25
12:15:04 PM     all     47.56      0.00      2.44      0.00      0.00     50.00
12:15:05 PM     all     31.05      0.00      1.17      0.00      0.00     67.79
12:15:06 PM     all     45.62      0.00     10.87      0.00      0.00     43.52
12:15:07 PM     all     86.68      0.00      5.15      0.00      0.00      8.17
12:15:08 PM     all     91.04      0.00      6.13      0.00      0.00      2.83
12:15:09 PM     all     45.50      0.00      4.25      0.00      0.00     50.25
12:15:10 PM     all     30.95      0.00      2.04      0.00      0.00     67.01
12:15:11 PM     all     46.12      0.00     13.43      0.00      0.00     40.45
12:15:12 PM     all     80.31      0.00      4.55      0.00      0.00     15.14
12:15:13 PM     all     91.63      0.00      5.10      0.00      0.00      3.27
12:15:14 PM     all     45.64      0.00      4.29      0.00      0.00     50.06
12:15:15 PM     all     30.54      0.00      1.62      0.00      0.00     67.83
12:15:16 PM     all     46.18      0.00      8.66      0.00      0.00     45.15
12:15:17 PM     all     81.65      0.00      5.00      0.00      0.00     13.35
12:15:18 PM     all     94.25      0.00      3.81      0.00      0.00      1.93
12:15:19 PM     all     48.89      0.00      4.20      0.00      0.00     46.91
12:15:20 PM     all     28.85      0.00      0.94      0.00      0.00     70.21
